"ID";"Nombre";"Direccion";"Telefono"
1;"Guarderia Sol";"Avenida Libertad 123";"555-1234567"
2;"Guarderia Luna";"Calle 456";"555-2345678"
3;"Guarderia Estrella";"Calle del Sol 789";"555-3456789"
4;"Guarderia Arco Iris";"Avenida Central 101";"555-4567890"
5;"Guarderia Pinos";"Calle 34";"555-5678901"
6;"Guarderia Felina";"Carretera del Norte 233";"555-6789012"
7;"Guarderia Canina";"Plaza Mayor 12";"555-7890123"
8;"Guarderia Infantil";"Calle Fina 25";"555-8901234"
9;"Guarderia Jardin de Mascotas";"Avenida Primavera 567";"555-9012345"
10;"Guarderia Patitas";"Calle de la Alegria 87";"555-0123456"
11;"La Favorita";"Calle Falsa 123";"3001234567"
